fund_code,fund_name,isin,type_code,annual_management_fee_rate
YHI,YAPI KREDİ PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),TRYYAPO00964,108,3.000
YHK,YAPI KREDİ PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TRYYAPO00840,104,3.150
TYH,TEB PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TRMTYHWWWWW3,104,2.750
TZD,ZİRAAT PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TRMTZDWWWWW9,104,2.750
YHS,YAPI KREDİ PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TRMKC5WWWWW6,104,3.450
YHT,YAPI KREDİ PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,TRYKCMD00019,100,2.420
YHZ,YAPI KREDİ PORTFÖY BIST TEKNOLOJİ AĞIRLIK SINIRLAMALI ENDEKSİ HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON),TRYYAPO00279,104,2.000
YIK,YAPI KREDİ PORTFÖY İKİNCİ PARA PİYASASI SERBEST (TL) FON,TRYYAPO01079,108,0.700
YIT,GARANTİ PORTFÖY YARI İLETKEN TEKNOLOJİLERİ DEĞİŞKEN FON,TRYGAPO01431,101,2.700
YJH,YAPI KREDİ PORTFÖY TEMİZ ENERJİ DEĞİŞKEN FONU,TRYYAPO00345,101,2.500
YJK,YAPI KREDİ PORTFÖY ROBOTİK VE YARI İLETKEN TEKNOLOJİLERİ FON SEPETİ FONU,TRYYAPO00337,102,2.500
YJY,YAPI KREDİ PORTFÖY YENİKÖY SERBEST (DÖVİZ) FON,TRYYAPO00311,108,1.200
YKS,YAPI KREDİ PORTFÖY İSTANBUL SERBEST FON,TRYYKBK00060,108,2.000
YKT,YAPI KREDİ PORTFÖY ALTIN FONU,TRYYKBK00110,105,2.008
YLC,ATA PORTFÖY TARIM VE GIDA DEĞİŞKEN FON,TRYATAP00104,101,1.750
YLE,YAPI KREDİ PORTFÖY BIST SÜRDÜRÜLEBİLİRLİK ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TRYYAPO00402,104,2.000
YLO,YAPI KREDİ PORTFÖY ELEKTRİKLİ ARAÇLAR DEĞİŞKEN FON,TRYYAPO00428,101,2.500
YMD,YAPI KREDİ PORTFÖY MASLAK SERBEST (DÖVİZ- ABD DOLARI) FON,TRYYAPO00725,108,1.500
YMH,YAPI KREDİ PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),TRYYAPO00972,108,2.500
YNK,YAPI KREDİ PORTFÖY NİŞANTAŞI KAR PAYI ÖDEYEN SERBEST (DÖVİZ) FON,TRYYAPO00733,108,1.400
YOT,YAPI KREDİ PORTFÖY BORÇLANMA ARAÇLARI FONU,TRMKC4WWWWW9,100,3.000
YOZ,DENİZ PORTFÖY YAKAMOZ SERBEST (DÖVİZ) FON,TRYDNZP01734,108,0.500
YP4,YAPI KREDİ PORTFÖY FERİKÖY SERBEST (DÖVİZ) FON,TRYYAPO00691,108,1.000
YPC,YAPI KREDİ PORTFÖY SÜRDÜRÜLEBİLİRLİK DEĞİŞKEN FON,TRYYAPO00584,101,2.500
YPF,YAPI KREDİ PORTFÖY ALFA SERBEST FON,TRYYAPO00014,108,2.000
YPK,YAPI KREDİ PORTFÖY GALATA SERBEST FON,TRYYAPO00022,108,1.500
ZBJ,ZİRAAT PORTFÖY BAŞAK PARA PİYASASI (TL) FONU,TRYZIPO00394,107,0.490
ZCN,ZİRAAT PORTFÖY EMTİA FON SEPETİ FONU,TRYZIPO00501,102,2.600
YLY,YAPI KREDİ PORTFÖY KİLYOS KAR PAYI ÖDEYEN HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),TRYYAPO00741,108,3.000
ZDD,ZİRAAT PORTFÖY TEMKİNLİ DEĞİŞKEN FON,TRYZIPO00147,101,2.000
ZDZ,ZİRAAT PORTFÖY AGRESİF DEĞİŞKEN FON,TRYZIPO00154,101,2.750
ZFB,AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON,TRYAKPO01060,101,2.900
ZHH,ZİRAAT PORTFÖY HALKBANK SÜRDÜRÜLEBİLİRLİK 30 ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TRYZIPO00956,104,2.250
ZJB,ZİRAAT PORTFÖY BİRİNCİ SERBEST (TL) FON,TRYZIPO00246,108,1.750
ZJI,ZİRAAT PORTFÖY İKİNCİ SERBEST (TL) FON,TRYZIPO00337,108,1.750
ZJL,ZİRAAT PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TRYZIPO00311,104,2.750
ZJV,ZİRAAT PORTFÖY BIST 30 DIŞI YILDIZ PAZAR ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TRYZIPO00329,104,2.750
ZLH,ZİRAAT PORTFÖY BIST 100-30 ŞİRKETLERİ HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON),TRYZIPO00345,104,2.750
ZMT,AZİMUT PORTFÖY 22.0 SERBEST (DÖVİZ-AVRO) FON,TRYAZIM01166,108,1.050
ZMY,ZİRAAT PORTFÖY METAVERSE VE YENİ TEKNOLOJİLER DEĞİŞKEN FON,TRYZIPO00477,101,2.750
ZP6,ZİRAAT PORTFÖY SEDEF KATILIM SERBEST (DÖVİZ - AMERİKAN DOLARI) FON,TRYZIPO00766,108,1.000
ZP8,ZİRAAT PORTFÖY KEHRİBAR PARA PİYASASI KATILIM SERBEST (TL) FON,TRYZIPO00782,108,1.000
ZP9,ZİRAAT PORTFÖY AKİK KATILIM SERBEST (DÖVİZ-AVRO) FON,TRYZIPO00790,108,1.000
ZPA,ZİRAAT PORTFÖY SERBEST (DÖVİZ) FON,TRYZIPO00022,108,0.880
ZPC,ZİRAAT PORTFÖY FON SEPETİ FONU,TRYZIPO00071,102,2.000
ZPE,ZİRAAT PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TRYZIPO00055,104,2.750
ZPF,ZİRAAT PORTFÖY KATILIM FONU (DÖVİZ),TRYZIPO00030,114,1.004
YPL,YAPI KREDİ PORTFÖY BALAT SERBEST (DÖVİZ) FON,TRYYAPO00097,108,1.500
ZPG,ZİRAAT PORTFÖY KİRA SERTİFİKALARI (SUKUK) KATILIM FONU,TRYZIPO00048,114,1.500
YPR,AZİMUT PORTFÖY YILDIZ PAZAR ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TRYAZIM01588,104,2.350
YPV,YAPI KREDİ PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU,TRYYAPO00196,102,3.000
YSA,YAPI KREDİ PORTFÖY SUADİYE SERBEST (DÖVİZ) FON,TRYYAPO01152,108,1.500
YSL,YAPI KREDİ PORTFÖY KAR PAYI ÖDEYEN KİRA SERTİFİKALARI KATILIM SERBEST (DÖVİZ) FON,TRYYAPO00766,108,1.500
YSO,YAPI KREDİ PORTFÖY SAĞLIK SEKTÖRÜ SERBEST FON,TRYYAPO00956,108,2.500
YSU,YAPI KREDİ PORTFÖY ÜÇÜNCÜ DEĞİŞKEN FON,TRYYKBK00524,101,1.497
YTD,YAPI KREDİ PORTFÖY YABANCI FON SEPETİ FONU,TRYYKBK00011,102,2.008
YTV,YAPI KREDİ PORTFÖY TARIM DEĞİŞKEN FON,TRYYAPO00774,101,2.500
YTY,YAPI KREDİ PORTFÖY TARABYA SERBEST (DÖVİZ-AVRO) FON,TRYYAPO00832,108,0.600
YUB,YAPI KREDİ PORTFÖY KARAKÖY HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),TRYYAPO00618,108,3.000
YUN,YAPI KREDİ PORTFÖY İSTİNYE SERBEST (DÖVİZ) FON,TRYYAPO00527,108,1.500
YVB,YAPI KREDİ PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU,TRYYAPO00949,100,3.000
YVG,YAPI KREDİ PORTFÖY SARIYER SERBEST (DÖVİZ-AVRO) FON,TRYYAPO00360,108,1.000
YZC,YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON,TRYYAPO00378,101,3.000
YZG,YAPI KREDİ PORTFÖY GÜMÜŞ FON SEPETİ FONU,TRYYAPO00220,102,2.800
YZH,TEB PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN),TRYTEBP00179,104,2.000
YZK,YAPI KREDİ PORTFÖY KALAMIŞ SERBEST FON,TRYYAPO00238,108,3.000
ZBD,ZİRAAT PORTFÖY DENGELİ DEĞİŞKEN FON,TRMKN3WWWWW8,101,2.250
ZBI,ZİRAAT PORTFÖY TEMKİNLİ KATILIM FONU,TRYZIPO00915,114,2.000
ZBO,ZİRAAT PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),TRYZIPO00410,108,2.500
ZCD,ZİRAAT PORTFÖY ALTINCI SERBEST (TL) FON,TRYZIPO00618,108,0.500
ZCK,ZİRAAT PORTFÖY AGRESİF KATILIM FONU,TRYZIPO00923,114,2.750
ZSF,ZİRAAT PORTFÖY S&P/OIC COMCEC (İSEDAK) 50 SHARİAH ŞİRKETLERİ YABANCI HİSSE SENEDİ FONU,TRYZIPO00097,104,2.000
ZSG,ZİRAAT PORTFÖY ESG SÜRDÜRÜLEBİLİRLİK FON SEPETİ FONU,TRYZIPO00709,102,2.000
ZTG,ZİRAAT PORTFÖY TARIM VE GIDA FON SEPETİ FONU,TRYZIPO01095,102,2.000
ZVO,ZIRAAT PORTFOY YONETIMI AS UCUNCU SERBEST (TL) FON - TRYZIPO00568,TRYZIPO00568,108,0.500
