fund_code,fund_name,isin,type_code,annual_management_fee_rate
KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,TRYKTPY00228,114,1.800
KVK,HEDEF PORTFÖY KATILIM İSTATİSTİKSEL ARBİTRAJ SERBEST FON,TRYHDFP00581,108,0.000
KVR,ATLAS PORTFÖY KISA VADELİ KATILIM SERBEST FON,TRYATLP00507,108,1.200
KVS,AZİMUT PORTFÖY KISA VADELİ SERBEST (TL) FON,TRYAZIM01075,108,0.383
KVT,AK PORTFOY ENERJI SIRKETLERI HISSE SENEDI (TL) FONU (HISSE SENEDI YOGUN FON) - TRYAKPO01755,TRYAKPO01755,104,2.900
KYA,KARE PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),TRYKARE00010,104,2.920
KYS,KARE PORTFÖY YEDİNCİ SERBEST (DÖVİZ) FON,TRYKARP00115,108,0.500
KZL,KUVEYT TÜRK PORTFÖY ALTIN KATILIM FONU,TRYKTPY00152,114,0.300
KZU,KUVEYT TÜRK PORTFÖY İKİNCİ ALTIN KATILIM FONU,TRYKTPY00467,114,1.500
LLA,ALLBATROSS PORTFOY AYDIN HISSE SENEDI SERBEST(TL) FON ( HISSE SENEDI YOGUN FON) - TRYALBT00168,TRYALBT00168,108,3.000
LPH,STATECH PORTFOY ISTATISTIKSEL ARBITRAJ SERBEST (TL) FON (HISSE SENEDI YOGUN FON) - TRYSTTC00021,TRYSTTC00021,108,3.500
MAC,MARMARA CAPITAL PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),TRYSRMD00010,104,2.680
MAD,MEKSA PORTFÖY BİRİNCİ DEĞİŞKEN FON,TRMMADWWWWW7,101,2.000
MBL,MEKSA PORTFÖY İKİNCİ DEĞİŞKEN FON,TRMMAKWWWWW2,101,2.000
MBR,MT PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU,TRYMTPY00133,100,1.313
MCU,AZIMUT PORTFOY MUTLAK GETIRI HEDEFLI HISSE SENEDI SERBEST FON (HISSE SENEDI YOGUN FON) - TRYAZIM0169,TRYAZIM01695,108,3.004
MD1,MT PORTFÖY BİRİNCİ DEĞİŞKEN FON,TRYMTPY00067,101,2.360
MD2,MT PORTFÖY İKİNCİ DEĞİŞKEN FON,TRYMTPY00059,101,3.100
MDF,FİBA PORTFÖY MODEL EMTİA FON SEPETİ SERBEST FON,TRYFIBP00401,108,3.500
MET,GARANTİ PORTFÖY METAVERSE VE YENİ TEKNOLOJİLER DEĞİŞKEN FON,TRYGAPO00920,101,2.700
MGB,İŞ PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),TRYISPO01629,108,3.200
MGH,TEB PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),TRYTEBP00427,108,2.500
MHF,MT PORTFÖY BIST HALKA ARZ ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TRYMTPY00083,104,2.625
MJB,AKTİF PORTFÖY BİRİNCİ FON SEPETİ FONU,TRYMKFT00257,102,2.000
MJG,AKTİF PORTFÖY GÜMÜŞ FON SEPETİ FONU,TRYMKFT00224,102,2.000
MJH,AKTİF PORTFÖY FORTUNA SERBEST FON,TRYMKFT00240,108,3.150
MJL,AKTİF PORTFÖY AKTİF SERBEST (DÖVİZ-AVRO) FON,TRYMKFT00232,108,0.530
MKA,MARMARA CAPİTAL PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),TRYMRMC00023,104,2.680
MKG,AKTİF PORTFÖY ALTIN KATILIM FONU,TRYMKFT00166,105,1.500
MLT,DENİZ PORTFÖY MELTEM HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),TRYDNZP01684,108,3.000
MMH,AKTİF PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),TRYMKFT00174,104,1.500
MOZ,EMAA BLUE PORTFÖY MOZAİK SERBEST FON,TRYEMAA00046,108,2.400
MPE,MT PORTFÖY PARA PİYASASI KATILIM (TL) FONU,TRYMTPY00182,114,1.050
MPF,AKTİF PORTFÖY KISA VADELİ KİRA SERTİFİKASI KATILIM (TL) FONU,TRYMKFT00034,114,1.460
MPK,AKTİF PORTFÖY KİRA SERTİFİKASI KATILIM (TL) FONU,TRYMKFT00026,114,1.640
MPL,MT PORTFÖY PARA PİYASASI (TL) FONU,TRYMTPY00018,107,0.735
MPN,AKTİF PORTFÖY İKİNCİ AKTİF SERBEST (DÖVİZ) FON,TRYMKFT00133,108,1.570
MPP,MEKSA PORTFÖY PRİME SERBEST FON,TRYMKSP00019,108,3.000
MPS,AKTİF PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),TRYMKFT00018,104,2.370
MRI,TEB PORTFÖY MERİDYEN SERBEST FON,TRYTEBP00476,108,2.500
MT1,MT PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,TRYMTPY00034,108,0.790
MT2,MT PORTFOY PARA PIYASASI SERBEST (TL) FON - TRYMTPY00075,TRYMTPY00075,108,1.050
MTD,BV PORTFÖY MALZEME TEKNOLOJİLERİ DEĞİŞKEN FON,TRYBVPY00181,101,2.500
AAL,ATA PORTFÖY PARA PİYASASI (TL) FONU,TRMAALWWWWW5,107,1.000
AC4,PARDUS  PORTFÖY PARA PİYASASI (TL) FON,TRYA1PY00040,107,1.000
MTF,MT PORTFÖY BİRİNCİ İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),TRYMTPY00091,108,3.150
MTG,DENİZ PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOGUN FON),TRYDNZP01429,108,2.000
MTK,MT PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),TRYMTPY00141,104,2.410
MTS,AKTİF PORTFÖY TARIM VE SÜRDÜRÜLEBİLİRLİK FON SEPETİ FONU,TRYMKFT00265,102,2.250
MTV,AK PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON,TRYAKPO01193,101,2.900
MTX,TEB PORTFÖY METAVERSE VE DİJİTAL TEKNOLOJİLER DEĞİŞKEN FON,TRYTEBP00237,101,2.750
MUT,GARANTİ PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),TRYGAPO01373,108,2.500
NAK,NEO PORTFÖY ALTIN KATILIM FONU,TRYVVGS01105,105,1.800
NAU,NEO PORTFOY ALTIN FONU - TRYVVGS00644,TRYVVGS00644,105,1.800
NBO,NEO PORTFÖY BORÇLANMA ARACI FONLARI FON SEPETİ FONU,TRYVVGS00925,102,1.500
NBZ,NEO PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,TRYVVGS00198,108,1.500
NCS,NUROL PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,TRYNRPO00268,108,0.750
NFF,NEO PORTFOY FON SEPETI SERBEST FON  - TRYVVGS00693,TRYVVGS00693,108,0.100
NHP,NEO PORTFÖY BİRİNCİ FON SEPETİ FONU,TRYVVGS00354,102,2.000
NHY,NEO PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),TRYVVGS00438,104,2.900
NJF,NUROL PORTFÖY ALTIN KATILIM FONU,TRYNRPO00110,114,1.000
NJR,NUROL PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU,TRYNRPO00144,100,1.850
NJY,NUROL PORTFÖY BİRİNCİ KATILIM FONU,TRYNRPO00128,114,1.500
NKA,NEO PORTFÖY KATILIM SERBEST (DÖVİZ) FON,TRYVVGS00842,108,1.000
NKC,NEO PORTFÖY İKİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TRYVVGS01014,104,2.800
NKM,NEO PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TRYVVGS01147,104,2.800
NKP,NEO PORTFÖY KAR PAYI ÖDEYEN DEĞİŞKEN FON,TRYVVGS00941,101,2.250
NKT,NUROL PORTFÖY BİRİNCİ KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TRYNRPO00615,104,2.750
NLE,NUROL PORTFÖY EMLAK SEKTÖRÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TRYNRPO00672,104,2.750
NLK,NUROL PORTFÖY KISA VADELİ SERBEST FON,TRYNRPO00508,108,0.750
NME,NUROL PORTFÖY MERCAN KATILIM SERBEST (DÖVİZ) FON,TRYNRPO00557,108,0.750
NMU,NUROL PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),TRYNRPO00763,108,4.000
NOI,TACİRLER PORTFÖY NOVA İSTATİSTİKSEL ARBİTRAJ SERBEST FON,TRYTACP00225,108,2.900
NPH,NUROL PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TRYNRPO00417,104,2.750
NRC,NEO PORTFÖY BİRİNCİ DEĞİŞKEN FON,TRYVVGS00248,101,2.900
NRG,NEO PORTFÖY BİRİNCİ PARA PİYASASI FONU,TRYVVGS00255,107,0.900
NSA,NEO PORTFÖY PARA PİYASASI KATILIM SERBEST FON,TRYVVGS00651,108,1.300
NSD,NUROL PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,TRYNRPO00243,108,0.700
NSH,NUROL PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),TRYNRPO00409,108,4.000
NSK,NEO PORTFÖY BİRİNCİ SERBEST FON,TRYVVGS00024,108,3.500
NSP,NUROL PORTFÖY PARA PİYASASI KATILIM FONU,TRYNRPO00516,114,0.700
NST,İŞ PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TRYISPO01744,104,3.200
NSY,NEO PORTFÖY YEDİNCİ SERBEST FON,TRYVVGS01048,108,2.750
NTI,NEO PORTFÖY TEKNOLOJİ VE İNOVASYON DEĞİŞKEN FON,TRYVVGS00958,101,2.250
NUB,NUROL PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON,TRYNRPO00367,108,0.750
NUH,NEO PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TRYVVGS01071,104,2.800
NVB,NEO PORTFÖY İKİNCİ PARA PİYASASI (TL) FON,TRYVVGS00412,107,1.300
NVC,NEO PORTFÖY VENTO SERBEST FON,TRYVVGS00487,108,2.500
NVK,INVEO PORTFÖY KATILIM SERBEST (DÖVİZ) FON,TRYGEPO00526,108,1.000
NVT,NEO PORTFÖY ÜÇÜNCÜ SERBEST (TL) FON,TRYVVGS00420,108,2.000
NVZ,NEO PORTFÖY ORSA SERBEST (DÖVİZ) FON,TRYVVGS00479,108,1.250
NZH,NEO PORTFÖY İKİNCİ DEĞİŞKEN FON,TRYVVGS00057,101,2.750
NZT,NEO PORTFÖY PARA PİYASASI SERBEST FON,TRYVVGS00040,108,2.000
NZU,NUROL PORTFÖY ZÜMRÜT KATILIM SERBEST (DÖVİZ) FON,TRYNRPO00524,108,0.750
OBI,OYAK PORTFÖY İKİNCİ BORÇLANMA ARAÇLARI (TL) FONU,TRYOYKP00260,100,1.000
OBP,OYAK PORTFÖY İKİNCİ DEĞİŞKEN FON,TRYOYMD00049,101,1.700
ODD,OYAK PORTFÖY DÖRDÜNCÜ SERBEST FON,TRYOYKP00104,108,1.000
NNF,HEDEF PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),TRYHDFP00060,104,2.700
ODP,OSMANLI PORTFÖY BİRİNCİ SERBEST FON,TRYOSMP00144,108,2.000
ODS,OYAK PORTFÖY İKİNCİ SERBEST(DÖVİZ) FON,TRYOYKP00047,108,0.803
ODV,AK PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU,TRYAKPO00237,102,1.950
OFI,OYAK PORTFÖY İKİNCİ FON SEPETİ FONU,TRYOYKP00245,102,1.250
OFS,OYAK PORTFÖY BİRİNCİ FON SEPETİ FONU,TRYOYKP00161,102,0.500
OGD,OYAK PORTFÖY ALTIN KATILIM FONU,TRYOYKP00138,114,1.752
OHB,OYAK PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),TRYOYKP00039,104,2.000
OHK,OYAK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),TRYOYKP00286,104,2.000
OIL,OSMANLI PORTFÖY AGRESİF FON SEPETİ FONU,TRYOSMP00185,102,0.100
OIR,OSMANLI PORTFÖY DENGELİ FON SEPETİ FONU,TRYOSMP00193,102,0.100
OJB,QNB PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON,TRYFIPO00222,108,1.000
OJK,QNB PORTFÖY ALTIN FONU,TRYFIPO00271,105,1.850
OJT,QNB PORTFÖY TEKNOLOJİ FON SEPETİ FONU,TRYFIPO00230,102,2.950
OKD,OYAK PORTFÖY BİRİNCİ DEĞİŞKEN FON,TRYOYMD00072,101,1.700
OKP,OYAK PORTFÖY BİRİNCİ KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,TRYOYKP00088,100,1.400
OKT,OYAK PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU,TRYOYMD00064,100,1.500
OLA,OSMANLI PORTFÖY İKİNCİ SERBEST (DÖVİZ- AVRO) FON,TRYOSMP00169,108,0.700
OLD,QNB PORTFÖY TEMİZ ENERJİ VE SU FON SEPETİ FONU,TRYFIPO00321,102,2.500
OLE,OSMANLI PORTFÖY BİRİNCİ FON SEPETİ FONU,TRYOSMP00151,102,0.100
