price_date,fund_code,unit_price,investor_count,total_fund_value
2026-04-28,DAS,51.182265,26773,133666301642.69
2026-04-28,DAT,90.710290,6,406179996.54
2026-04-28,DAV,54.716870,138,1037909264.16
2026-04-28,DAZ,12.292630,4,325197215.65
2026-04-28,DB2,1.853302,18,122996896.88
2026-04-28,DBA,0.751671,27489,11485663344.65
2026-04-28,DBB,0.102512,1979,332342159.25
2026-04-28,DBG,0.578609,3,2380358403.50
2026-04-28,DBH,0.353954,9204,1007787529.75
2026-04-28,DBK,0.107543,85955,685604424.98
2026-04-28,DBP,0.460439,1110,160410578.17
2026-04-28,DBZ,0.124730,3054,775187377.15
2026-04-28,DCB,4.209757,22400,133007961610.94
2026-04-28,DCD,62.112238,1,266791565.40
2026-04-28,DCE,68.055951,3,1184132654.30
2026-04-28,DCN,1.275417,1088,148093394.18
2026-04-28,DCP,69.864503,3,249030762.07
2026-04-28,DDA,13.554730,1230,250013985.67
2026-04-28,DDC,11.005547,11,3691927694.22
2026-04-28,DDE,71.159229,1,392448344.04
2026-04-28,DDF,11.105517,652,280705770.05
2026-04-28,DDP,68.899701,1,72071980.59
2026-04-28,DEF,2.557641,96,68595362.10
2026-04-28,DEI,0.034830,13,4137358.65
2026-04-28,DFC,3.118227,1683,129075774.57
2026-04-28,DFD,2.585147,536,157672537.96
2026-04-28,DFI,3.751477,40047,18212754870.64
2026-04-28,DFO,3.454274,2,1021655585.57
2026-04-28,DGF,1.285002,223,26550794.75
2026-04-28,DGH,9.494936,233,1134326236.44
2026-04-28,DHI,5.091771,46,764892785.25
2026-04-28,DHJ,7.135008,3025,227448095.81
2026-04-28,DHM,5.137965,1293,29985066.99
2026-04-28,DHP,3.963669,1,7481397.75
2026-04-28,DHS,345.565345,1,4563307177.99
2026-04-28,DHT,1.048852,556,72917328.92
2026-04-28,DHV,2.187579,11,318292493.75
2026-04-28,DID,1.367633,184,36604852.02
2026-04-28,DIH,1.721304,11,129196964.20
2026-04-28,DIM,48.904754,1,111870016.53
2026-04-28,DIP,1.391160,1250,48622098281.82
2026-04-28,DK1,1.321609,66,4208655741.79
2026-04-28,DK8,45.174166,313,1748887037.85
2026-04-28,DKA,45.101719,239,2299232926.95
2026-04-28,DKC,0.662771,13,207782.58
2026-04-28,DKH,3.613903,1538,212339035.98
2026-04-28,DKL,47.235216,110,418964933.90
2026-04-28,DKP,45.081335,644,3960846134.98
2026-04-28,DKR,0.723828,556,55170830.53
2026-04-28,DKS,67.384656,2,216165259.49
2026-04-28,DKY,45.018186,231,2557774718.41
2026-04-28,DL2,2.194279,720,9778785469.23
